id|matchNo|teamNo|autoCrossLineTry|autoCrossLineSuccess|autoBoxToSwitchTry|autoBoxToSwitchCount|autoBoxToWrongSwitchTry|autoBoxToWrongSwitchCount|autoBoxToScaleTry|autoBoxToScaleCount|autoBoxToWrongScaleTry|autoBoxToWrongScaleCount|autoEndWithNewCube|teleBoxToSwitchCount|teleBoxToScaleCount|teleBoxToOpponentSwitchCount|teleBoxToExchangeCount|teleDroppedBoxCount|teleDefenseType|tippedBot|deadBot|recoveredTippedBot|recoveredDeadBot|penaltyStandardFoul|penaltyTechnicalFoul|penaltyYellowCard|penaltyRedCard|endParked|endClimbedType|endClimbedRampSingle|endClimbedRampDouble|endClimbedExtendBar|endCubeAttainment|endScoringAbility|postComments
81|"20"|"2457"|0|1|0|0|0|0|0|0|0|0|0|0|3|0|0|1|"Did not"|0|0|0|0|0|0|0|0|0|"Center"|0|0|0|"Picked up cubes from"|"Can score on high sc"|""
82|"20"|"5809"|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|"Did not"|0|0|0|0|1|0|0|0|1|"Did not Try"|0|0|0|"Did not use cubes"|"Can not/did not use "|"bad driving very slow and could not pick up cube"
83|"21"|"1769"|0|1|0|0|0|0|0|0|0|0|0|0|2|0|0|0|"Did not"|0|0|0|0|0|0|0|0|1|"Did not Try"|0|0|0|"Picked up cubes from"|"Can score on high sc"|""
84|"21"|"4959"|0|1|0|1|0|0|0|0|0|0|0|0|3|0|4|0|"Did not"|0|0|0|0|0|0|0|0|1|"Did not Try"|0|0|0|"Picked up cubes from"|"Can score on high sc"|""
85|"21"|"2353"|0|1|0|0|0|0|0|0|0|0|0|1|0|0|2|0|"Did not"|0|0|0|0|0|0|0|0|0|"Center"|0|0|1|"Picked up cubes from"|"Can score on switch"|"extended bar success"
86|"21"|"967"|1|0|1|0|0|0|0|0|0|0|0|2|1|0|0|4|"Did not"|0|0|0|0|1|0|1|0|0|"Center"|0|0|0|"Did not use cubes"|"Can not/did not use "|"dropped any cubes"
87|"21"|"4646"|0|0|0|0|0|0|0|0|0|0|0|2|0|0|3|0|"Did not"|0|0|0|0|0|0|0|0|0|"Attempt"|0|0|1|"Picked up cubes from"|"Can score on low sca"|""
88|"21"|"1810"|0|1|0|1|0|0|0|0|0|0|0|0|3|0|0|0|"Did not"|0|0|0|0|0|0|0|0|1|"Side"|0|0|0|"Picked up cubes from"|"Can score on medium "|""
89|"23"|"935"|1|1|0|0|0|0|0|0|0|0|0|1|1|0|0|1|"Did Not"|0|0|0|0|0|0|0|0|1|"Did not Try"|0|0|0|"Received cubes from "|"Can score on high sc"|""
90|"23"|"1939"|1|1|0|0|0|0|0|0|0|0|0|0|4|1|0|0|"Did Not"|0|0|0|0|0|0|0|0|0|"Center"|0|0|0|"Picked up cubes from"|"Can score on medium "|"YAY"
91|"23"|"2001"|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|"Did Not"|0|0|0|0|0|0|0|0|1|"Did not Try"|0|0|0|"Picked up cubes from"|"Can score on switch"|""
92|"23"|"2410"|0|1|0|0|0|0|0|0|0|0|0|0|1|0|0|3|"less than 30 secs"|0|1|0|1|0|0|0|0|0|"Center"|0|0|0|"Picked up cubes from"|"Can score on switch"|"had a hard time on the high scale"
93|"23"|"1710"|0|1|0|0|0|0|0|0|0|0|0|3|0|0|8|0|"Did Not"|0|0|0|0|0|0|0|0|0|"Did not Try"|0|0|0|"Did not use cubes"|"Can not/did not use "|"fastexchange did 8 cubes w 60 secs to spare"
94|"23"|"6424"|0|1|0|1|0|0|0|0|0|0|0|0|1|2|0|1|"less than 30 secs"|0|0|0|0|1|0|0|0|1|"Did not Try"|0|0|0|"Picked up cubes from"|"Can score on low sca"|""
95|"24"|"1982"|1|1|0|0|0|0|0|0|0|0|0|0|3|0|0|0|"Did not"|0|0|0|0|0|0|0|0|1|"Did not Try"|0|0|0|"Picked up cubes from"|"Can score on high sc"|""
96|"24"|"5268"|1|1|0|0|0|0|0|0|0|0|0|0|0|0|4|0|"Did not"|0|0|0|0|0|0|0|0|1|"Did not Try"|0|0|0|"Picked up cubes from"|"Can score on exchang"|""
97|"24"|"967"|0|1|0|0|0|0|0|0|0|0|0|1|0|0|5|0|"Did not"|0|1|0|1|0|0|0|0|0|"Used Ramp"|0|0|0|"Picked up cubes from"|"Can score on exchang"|""
98|"24"|"1997"|0|0|0|0|0|0|0|0|0|0|0|2|0|0|0|0|"Did not"|0|0|0|0|0|0|0|0|1|"Did not Try"|0|1|0|"Did not use cubes"|"Can not/did not use "|"right side of ramp broke when trying to lift another robot."
99|"24"|"6420"|0|1|0|0|0|0|0|0|0|0|0|2|0|0|1|3|"Did not"|1|0|0|0|0|0|0|0|0|"Center"|0|0|0|"Picked up cubes from"|"Can score on switch"|"climber took multipe attempts to climb"
100|"24"|"6886"|1|1|0|0|0|0|1|1|0|0|0|0|5|0|0|2|"Did not"|0|0|0|0|0|0|0|0|1|"Attempt"|0|0|0|"Picked up cubes from"|"Can score on high sc"|"Crushed robot beneath them when attempting to climb"
101|"25"|"1108"|1|1|0|0|0|0|0|0|0|0|0|0|3|0|0|1|"Did not"|0|0|0|0|0|0|0|0|0|"Attempt"|0|0|0|"Picked up cubes from"|"Can score on high sc"|""
102|"25"|"1730"|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|"Did Not"|0|0|0|0|0|0|0|0|0|"Did not Try"|0|0|0|"Did not use cubes"|"Can not/did not use "|"Dont use this data"
103|"25"|"1810"|0|1|0|1|0|0|0|0|0|0|0|0|0|0|4|1|"Did not"|0|1|0|1|0|0|0|0|0|"Center"|0|0|0|"Picked up cubes from"|"Can score on exchang"|""
104|"25"|"938"|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|"Did not"|0|0|0|0|0|0|0|0|0|"Did not Try"|0|0|0|"Did not use cubes"|"Can not/did not use "|"kkmoving very slow, maybe drivetrain is broken"
105|"25"|"1723"|0|1|0|0|0|0|0|0|0|0|0|0|3|0|0|0|"Did not"|0|0|0|0|0|0|0|0|1|"Did not Try"|0|0|0|"Did not use cubes"|"Can not/did not use "|""
106|"25"|"1806"|1|1|1|0|0|0|1|1|0|0|0|0|3|0|0|3|"Did not"|0|0|0|0|0|0|0|0|1|"Did not Try"|0|0|0|"Picked up cubes from"|"Can score on high sc"|""
107|"26"|"4522"|1|1|1|0|0|0|0|0|0|0|0|0|2|0|0|1|"Did Not"|0|0|0|0|0|0|0|0|0|"Center"|0|0|0|"Picked up cubes from"|"Can score on medium "|""
108|"26"|"5918"|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|"Did Not"|0|0|0|0|0|0|0|0|1|"Did not Try"|0|0|0|"Did not use cubes"|"Can not/did not use "|""
109|"26"|"1785"|0|1|0|0|0|0|0|0|0|0|1|0|0|0|0|0|"Did Not"|0|0|0|0|0|0|0|0|1|"Did not Try"|0|0|0|"Only used cube they "|"Can not/did not use "|""
110|"26"|"1769"|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|"Did Not"|0|1|0|1|1|0|0|0|0|"Center"|0|0|0|"Did not use cubes"|"Can not/did not use "|"comm issues"
111|"26"|"4959"|0|1|0|0|0|0|0|0|0|0|0|0|1|0|0|0|"Did Not"|0|0|0|0|0|0|0|0|1|"Did not Try"|0|0|0|"Picked up cubes from"|"Can score on medium "|"drove around for most of the time"
112|"26"|"5809"|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|"Did Not"|0|0|0|0|0|0|0|0|0|"Did not Try"|0|0|0|"Did not use cubes"|"Can not/did not use "|"Driver was unprepared"
113|"27"|"4499"|0|1|0|0|0|0|0|0|0|0|0|1|0|0|0|0|"Did not"|0|1|0|0|0|0|0|0|0|"Did not Try"|0|0|0|"Did not use cubes"|"Can not/did not use "|""
